Luzern/Horwerstrasse/87;Luzern/Obergrundstrasse/110;1018
Luzern/Obergrundstrasse/110;Luzern/Obergrundstrasse/85;608.07
Luzern/Obergrundstrasse/85;Luzern/Bundesplatz/2;543.44
Luzern/Bundesplatz/2;Luzern/Zentralstrasse/1;517.15
Luzern/Obergrundstrasse/85;Luzern/Pilatusstrasse/38;520.77
Luzern/Pilatusstrasse/38;Luzern/Zentralstrasse/1;493.83
Luzern/Pilatusstrasse/38;Luzern/Bruchstrasse/35;387
Luzern/Bruchstrasse/35;Luzern/Kasernenplatz/3;220.57
Luzern/Kasernenplatz/3;Luzern/Bruchstrasse/18;227.32
Luzern/Bruchstrasse/18;Luzern/Baselstrasse/76;677.26
Luzern/Baselstrasse/76;Luzern/Reusszopfweg/17;1073
Luzern/Reusszopfweg/17;Emmen/Schachenstrasse/2;227.93
Emmen/Schachenstrasse/2;Emmen/Reusseggstrasse/17;925.86
Emmen/Reusseggstrasse/17;Luzern/Seehüsliweg/6;1021
Luzern/Seehüsliweg/6;Luzern/Spitalstrasse/4;805.84
Luzern/Spitalstrasse/4;Luzern/Spitalstrasse/16;589.27
Luzern/Spitalstrasse/16;Luzern/Sankt-Karli-Strasse/29;582.84
Luzern/Sankt-Karli-Strasse/29;Luzern/Baselstrasse/76;264.09
Luzern/Zentralstrasse/1;Luzern/Schweizerhofquai/3;525.46
Luzern/Schweizerhofquai/3;Luzern/Zürichstrasse/5;307.59
Luzern/Schweizerhofquai/3;Luzern/Haldenstrasse/23;616.26
Luzern/Zürichstrasse/85;Luzern/Zürichstrasse/5;515.55
Luzern/Zürichstrasse/5;Luzern/Spitalstrasse/4;805.84
